                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.81806,                 6.7895,                0.63346,                0.64831,                 1.0966,                0.82832,                      1,                  0.995,                 0.7339,                      0,                      0,                      0,                      0,                0.93062,                 6.4969,                0.64218,                 1.5734,                 1.3521,             0.00044438,             0.00044438,             0.00044438
                     35,                 1.1229,                 8.6583,                0.65004,                  1.331,                 1.2043,                0.99097,                      1,                  0.995,                0.74959,                      0,                      0,                      0,                      0,                0.93355,                 6.2738,                0.63621,                 1.4292,                 1.3242,             0.00045111,             0.00045111,             0.00045111
                     36,                0.91702,                 7.7879,                0.68584,                0.81941,                 1.2398,                0.99097,                      1,                  0.995,                0.74959,                      0,                      0,                      0,                      0,                0.93355,                 6.2738,                0.63621,                 1.4292,                 1.3242,             0.00045745,             0.00045745,             0.00045745
                     37,                0.81319,                 8.4377,                0.71843,                0.65659,                 1.1439,                0.98242,                      1,                  0.995,                0.64701,                      0,                      0,                      0,                      0,                 1.1592,                 6.6741,                0.62092,                 2.9001,                 1.8169,             0.00046339,             0.00046339,             0.00046339
                     38,                0.77792,                 7.7347,                0.65781,                  1.034,                 1.2204,                0.98242,                      1,                  0.995,                0.64701,                      0,                      0,                      0,                      0,                 1.1592,                 6.6741,                0.62092,                 2.9001,                 1.8169,             0.00046894,             0.00046894,             0.00046894
                     39,                0.84424,                 8.0152,                 0.6565,                0.76027,                0.98857,                      1,                    0.6,                0.80816,                0.45268,                      0,                      0,                      0,                      0,                 1.7579,                 7.2296,                0.59049,                 9.0711,                 2.7116,             0.00047409,             0.00047409,             0.00047409
                     40,                0.77792,                 8.2722,                0.65199,                0.67459,                 1.2037,                      1,                    0.6,                0.80816,                0.45268,                      0,                      0,                      0,                      0,                 1.7579,                 7.2296,                0.59049,                 9.0711,                 2.7116,             0.00047884,             0.00047884,             0.00047884
                     41,                 1.0483,                 8.4866,                0.66698,                0.94913,                 1.3708,                   0.75,                    0.6,                0.63149,                0.32564,                      0,                      0,                      0,                      0,                 1.4429,                 7.6119,                0.60713,                 11.627,                 1.8439,              0.0004832,              0.0004832,              0.0004832
                     42,                 1.0157,                  8.257,                0.66688,                0.85954,                 1.3282,                   0.75,                    0.6,                0.63149,                0.32564,                      0,                      0,                      0,                      0,                 1.4429,                 7.6119,                0.60713,                 11.627,                 1.8439,             0.00048716,             0.00048716,             0.00048716
                     43,                 1.1173,                 8.7161,                0.67183,                0.79832,                  1.269,                0.21958,                    0.8,                 0.8253,                0.59681,                      0,                      0,                      0,                      0,                0.98076,                 6.8217,                0.61082,                 6.9965,                 1.2943,             0.00049073,             0.00049073,             0.00049073
                     44,                 1.0408,                 7.7839,                0.67808,                 1.3027,                 1.4265,                0.21958,                    0.8,                 0.8253,                0.59681,                      0,                      0,                      0,                      0,                0.98076,                 6.8217,                0.61082,                 6.9965,                 1.2943,              0.0004939,              0.0004939,              0.0004939
                     45,                0.98807,                 7.9318,                0.62951,                0.78261,                 1.1071,                0.29016,                0.90252,                0.52833,                0.35831,                      0,                      0,                      0,                      0,                0.96044,                 7.1582,                0.60185,                 6.3865,                 1.2373,             0.00049667,             0.00049667,             0.00049667
                     46,                 1.0077,                 8.7276,                0.72503,                 0.7948,                 1.3217,                0.29016,                0.90252,                0.52833,                0.35831,                      0,                      0,                      0,                      0,                0.96044,                 7.1582,                0.60185,                 6.3865,                 1.2373,             0.00049905,             0.00049905,             0.00049905
                     47,                 1.5317,                 7.3344,                0.67365,                 1.4283,                 1.7128,                0.82528,                      1,                0.92833,                0.78455,                      0,                      0,                      0,                      0,                0.67555,                 5.9951,                0.61008,                0.94325,                 1.0737,             0.00050103,             0.00050103,             0.00050103
                     48,                0.92209,                 6.4754,                0.64858,                0.82289,                 1.2127,                0.82528,                      1,                0.92833,                0.78455,                      0,                      0,                      0,                      0,                0.67555,                 5.9951,                0.61008,                0.94325,                 1.0737,             0.00050262,             0.00050262,             0.00050262
