                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 0.5453,                0.50711,                 1.0289,                0.98306,                 0.9991,                  0.995,                0.91231,                0.42822,                0.34469,                0.86104,             0.00041041,             0.00041041,             0.00041041
                     75,                0.55321,                0.55092,                  1.064,                0.98587,                0.99957,                  0.995,                0.93756,                0.40408,                0.33622,                 0.8439,             0.00039626,             0.00039626,             0.00039626
                     76,                0.55549,                0.52052,                 1.0352,                0.98687,                      1,                  0.995,                0.90911,                0.40507,                0.35589,                0.85225,             0.00038211,             0.00038211,             0.00038211
                     77,                0.59379,                0.48904,                 1.0342,                0.98604,                0.99991,                  0.995,                0.92987,                0.40901,                0.34136,                0.86182,             0.00036797,             0.00036797,             0.00036797
                     78,                 0.5305,                0.44933,                0.98472,                0.98411,                      1,                  0.995,                0.90964,                0.43313,                0.34063,                  0.876,             0.00035382,             0.00035382,             0.00035382
                     79,                0.51988,                0.46866,                 1.0276,                0.98564,                      1,                  0.995,                0.90861,                0.46343,                0.35723,                0.88761,             0.00033967,             0.00033967,             0.00033967
                     80,                0.47069,                0.42887,                0.95198,                0.98828,                      1,                  0.995,                0.90781,                0.44631,                0.34829,                0.88062,             0.00032553,             0.00032553,             0.00032553
                     81,                0.54482,                0.46227,                 0.9986,                 0.9911,                      1,                  0.995,                0.93044,                0.41797,                0.34379,                0.87487,             0.00031138,             0.00031138,             0.00031138
                     82,                0.53238,                0.47644,                0.99899,                0.98963,                      1,                  0.995,                 0.9191,                0.39936,                0.32813,                0.87055,             0.00029723,             0.00029723,             0.00029723
                     83,                0.53071,                 0.4917,                 1.0041,                0.98811,                      1,                  0.995,                0.91195,                0.39609,                0.32562,                0.86514,             0.00028308,             0.00028308,             0.00028308
                     84,                0.51507,                0.45183,                0.97574,                0.98925,                      1,                  0.995,                 0.9182,                0.39772,                0.32357,                0.85861,             0.00026894,             0.00026894,             0.00026894
                     85,                0.50576,                0.43889,                0.99621,                0.99157,                      1,                  0.995,                0.90787,                0.39534,                 0.3219,                0.85176,             0.00025479,             0.00025479,             0.00025479
                     86,                0.49294,                0.44999,                0.99482,                0.98984,                      1,                  0.995,                0.91652,                0.38839,                0.32544,                0.84487,             0.00024064,             0.00024064,             0.00024064
                     87,                0.51993,                0.48966,                 1.0044,                0.98653,                      1,                  0.995,                0.93185,                0.37985,                0.32014,                0.83834,              0.0002265,              0.0002265,              0.0002265
                     88,                0.46947,                 0.4303,                0.98958,                0.98464,                      1,                  0.995,                0.91816,                0.36571,                0.31865,                0.83013,             0.00021235,             0.00021235,             0.00021235
                     89,                 0.5281,                0.44095,                 1.0339,                0.98343,                      1,                  0.995,                 0.9251,                0.34947,                 0.3094,                0.82323,              0.0001982,              0.0001982,              0.0001982
                     90,                0.48682,                0.40942,                 1.0212,                0.98197,                      1,                  0.995,                0.92833,                 0.3442,                0.30765,                0.82152,             0.00018406,             0.00018406,             0.00018406
                     91,                0.46049,                0.48307,                0.95748,                 0.9794,                 0.9986,                  0.995,                0.93284,                0.35157,                0.30084,                0.82283,             0.00016991,             0.00016991,             0.00016991
                     92,                0.41146,                0.41976,                0.91139,                0.97754,                0.99643,                  0.995,                0.93904,                0.35694,                0.29852,                 0.8224,             0.00015576,             0.00015576,             0.00015576
                     93,                0.41842,                0.39877,                 0.9413,                0.97647,                0.99477,                  0.995,                0.93927,                0.35736,                0.30185,                0.82359,             0.00014161,             0.00014161,             0.00014161
                     94,                 0.4094,                0.34697,                0.93539,                0.97774,                0.99447,                  0.995,                0.94115,                0.34864,                0.30036,                0.82178,             0.00012747,             0.00012747,             0.00012747
                     95,                0.37772,                 0.3359,                0.91624,                0.97969,                0.99448,                  0.995,                0.92794,                0.34498,                0.30124,                0.82189,             0.00011332,             0.00011332,             0.00011332
                     96,                0.38317,                0.34363,                0.90426,                0.98367,                0.99586,                  0.995,                0.93036,                 0.3424,                0.30139,                 0.8208,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                  0.353,                0.30462,                0.86671,                0.98671,                0.99724,                  0.995,                0.93335,                0.33988,                0.29646,                0.82071,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.38617,                 0.3286,                0.90743,                 0.9891,                0.99925,                  0.995,                0.94707,                 0.3382,                0.29421,                0.81944,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.33219,                0.30925,                0.85906,                0.99028,                      1,                  0.995,                0.95014,                0.33856,                0.29263,                0.81797,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.34301,                0.31077,                0.89906,                0.99094,                      1,                  0.995,                0.95013,                0.33611,                0.29753,                0.81519,             4.2584e-05,             4.2584e-05,             4.2584e-05
